"#","Paenungulata",,,
30317,20317,"Cavpor3.0_HiC","Guinea pig (DNAZoo)","Cavia porcellus"
30318,20318,"CerSimSim1.0_HiC","White rhinoceros (DNAZoo)","Ceratotherium simum"
30319,20319,"ChiLan1.0_HiC","Domestic chinchilla hybrid (DNAZoo)","Chinchilla lanigera"
30320,20320,"MesAur1.0_HiC","Golden hamster (DNAZoo)","Mesocricetus auratus"
30321,20321,"MusPutFur1.0_HiC","Domestic ferret (DNAZoo)","Mustela putorius furo"
30322,20322,"PanPar1.0_HiC","Leopard (DNAZoo)","Panthera pardus"
30323,20323,"PanTig1.0_HiC","Tiger (DNAZoo)","Panthera tigris"
30324,20324,"PumCon1.0_HiC","Cougar (DNAZoo)","Puma concolor"
30325,20325,"Pvam_2.0_HiC","Large flying fox  (DNAZoo)","Pteropus vampiris"
30326,20326,"UrsMar_1.0_HiC","Polar bear (DNAZoo)","Ursus maritimus"
30327,20327,"VulVul2.2_HiC","Red fox (DNAZoo)","Vulpes vulpes"
30328,20328,"aciJub1_HiC","Cheetah (DNAZoo)","Acinonyx jubatus"
30329,20329,"ailFul-ASM200746v1_HiC","Red panda (DNAZoo)","Ailurus fulgens"
30330,20330,"axiPor-ASM379854v1_HiC","Hog deer (DNAZoo)","Axis porcinus"
30331,20331,"bisBis_UMD1.0_HiC","American Bison (DNAZoo)","Bison bison"
30332,20332,"camDro-PRJNA234474-V1.0_HiC","Dromedary (DNAZoo)","Camelus dromedarius"
30333,20333,"canLupDin-ASM325472v1_HiC","Dingo (DNAZoo)","Canis lupus dingo"
30334,20334,"casCan_v1.0_HiC","Canadian beaver (DNAZoo)","Castor canadensis"
30335,20335,"choHof-C_hoffmanni-2.0.1_HiC","Hoffmanns two-toed sloth (DNAZoo)","Choloepus hoffmannii"
30336,20336,"delLeu-ASM228892v2_HiC","Beluga whale (DNAZoo)","Delphinapterus leucas"
30337,20337,"didVer-dv-2k","Virginia opossum (DNAZoo)","Didelphis virginiana"
30338,20338,"eidHel1-ASM46528v1_HiC","Straw-colored fruit bat (DNAZoo)","Eidolon helvum"
30339,20339,"enhLut-ASM228890v2_HiC","Sea otter (DNAZoo)","Enhydra lutris"
30340,20340,"equAsi-ASM303372v1_HiC","Donkey (DNAZoo)","Equus asinus"
30341,20341,"eulFla-Eflavifronsk33QCA_HiC","Blue-eyed black lemur (DNAZoo)","Eulemur flavifrons"
30342,20342,"fukDam-DMR_v1.0_HiC","Damaraland mole-rat (DNAZoo)","Fukomys damarensis"
30343,20343,"girCam-ASM165123v1_HiC","Giraffe (DNAZoo)","Giraffa camelopardalis"
30344,20344,"lagObl-ASM367639v1_HiC","Pacific white-sided dolphin  (DNAZoo)","Lagenorhynchus obliquidens"
30345,20345,"macEug-me-1k","Tammar wallaby (DNAZoo)","Macropus eugenii"
30346,20346,"macFul-mf-2k","Western grey kangaroo (DNAZoo)","Macropus fuliginosus"
30347,20347,"macGig-mg-2k","Eastern grey kangaro (DNAZoo)","Macropus giganteus"
30348,20348,"makRuf-mr-2k","Red kangaroo (DNAZoo)","Macropus rufus"
30349,20349,"odoRos-Oros_1.0_HiC","Walrus (DNAZoo)","Odobenus rosmarus"
30350,20350,"odoVir-Ovir.te_1.0_HiC","White-tailed deer (DNAZoo)","Odocoileus virginianus"
30351,20351,"okaJoh-ASM166083v1_HiC","Okapi (DNAZoo)","Okapia johnstoni"
30352,20352,"orcOrc-Oorc_1.1_HiC","Killer whale (DNAZoo)","Orcinus orca"
30353,20353,"phaGym-pg-2k","Ground cuscus (DNAZoo)","Phalanger gymnotis"
30354,20354,"proCap-Pcap_2.0_HiC","Rock hyrax (DNAZoo)","Procavia capensis"
30355,20355,"proCoq-Pcoq_1.0_HiC","Coquerel's sifaka (DNAZoo)","Propithecus coquereli"
30356,20356,"proLot-pl-1k","Common raccoon (DNAZoo)","Procyon lotor"
30357,20357,"pytMolBiv-Python_molurus_bivittatus-5.0.2_HiC","Burmese python (DNAZoo)","Python bivittatus"
30358,20358,"saiBolDis_HiC","Squirrel monkey (DNAZoo)","Saimiri boliviensis"
30359,20359,"surSur-meerkat_22Aug2017_6uvM2_HiC","Meerkat (DNAZoo)","Suricata suricatta"
30360,20360,"turAdu-ASM322739v1_HiC","Indo-pacific bottlenose dolphin (DNAZoo)","Tursiops aduncus"
30361,20361,"turTru-NIST_Tur_tru_v1_HiC","Common bottlenose dolphin (DNAZoo)","Tursiops truncatus"
30362,20362,"ursAme-ASM334442v1_HiC","American black bear (DNAZoo)","Ursus americanus"
30363,20363,"ursArc-ASM358476v1_HiC","Grizzly bear (DNAZoo)","Ursus arctos"
30364,20364,"vicPac-Vicugna_pacos-2.0.1_HiC","Alpaca (DNAZoo)","Vicugna pacos"
30365,20365,"vomUrs-vu-2k","Wombat (DNAZoo)","Vombatus ursinus"
30366,20366,"MonDom5_HiC","Gray short-tailed opossum (DNAZoo)","Monodelphis domestica"
30367,20367,"Mmur_3.0_HiC","Gray mouse lemur (DNAZoo)","Microcebus murinus"
30368,20368,"OryCun2.0_HiC","European rabbit (DNAZoo)","Oryctolagus cuniculus"
30369,20369,"canFamDis_HiC","Domestic dog (Golden Retriever) (DNAZoo)","Canis familiaris"
30370,20370,"mOrnAna1.pri.cur.20181116","Platypus (VGP)","Ornithorhynchus anatinus"
30371,20371,"mPhyDis1.pri.cur.20180907","Pale spear-nosed bat (VGP)","Phyllostomus discolor"
30372,20372,"mRhiFer1.pri.cur.20180907","Greater horseshoe bat (VGP)","Rhinolophus ferrumequinum"
30373,20373,"bStrHab1.pri.cur.20180907","Owl parrot (VGP)","Strigops habroptilus"
30374,20374,"bTaeGut1.pri.cur.20181023","Zebra finch (VGP)","Taeniopygia guttata"
30375,20375,"aRhiBiv1.pri.cur.20180909","Two-lined caecilian (VGP)","Rhinatrema bivittatum"
30376,20376,"bCalAnn1.pri.cur.20180926","Anna's hummingbird (VGP)","Calypte anna"
30377,20377,"fArcCen1.pri.cur.20181118","Flier cichlid (VGP)","Archocentrus centrarchus"
30378,20378,"cheMyd1","Green Sea Turtle","Chelonia mydas"
30379,20379,"cheAbi1","Lonesome George","Chelonoidis abingdonii"
30380,20380,,,
30381,20381,,,
30382,20382,,,
30383,20383,,,
30384,20384,,,
30385,20385,,,
30386,20386,,,
30387,20387,,,
30388,20388,,,
